	symbol	direction	entry_price	exit_price	outcome	return_pct (%)	PnL ($)	entry_time	exit_time
174	UVXY	Short	112.65	113.1356168	SL hit	-43.11%	-5.110846316	2024-08-20T14:17:00.000	2024-08-20T14:43:00.000
173	UVXY	Long	112.25	111.6678571	SL hit	-51.86%	-5.986128413	2024-08-16T15:38:00.000	2024-08-16T15:54:00.000
172	UVXY	Long	114.48	115.9743916	TP hit	130.54%	12.25373526	2024-08-15T17:00:00.000	2024-08-15T17:10:00.000
171	UVXY	Long	112.12	111.739585	SL hit	-33.93%	-4.192926943	2024-08-15T14:20:00.000	2024-08-15T14:21:00.000
170	UVXY	Long	124.2	124.0959157	SL hit	-8.38%	-1.63803793	2024-08-14T14:58:00.000	2024-08-14T14:59:00.000
169	UVXY	Long	133.8	133.4508872	SL hit	-26.09%	-3.409214044	2024-08-13T19:56:00.000	2024-08-13T19:58:00.000
168	UVXY	Long	140.4	142.5385	TP hit	152.31%	14.43148148	2024-08-13T14:13:00.000	2024-08-13T14:30:00.000
167	UVXY	Long	142.3	142.2063241	SL hit	-6.58%	-1.458298728	2024-08-13T13:32:00.000	2024-08-13T13:33:00.000
166	UVXY	Long	147	146.4763401	SL hit	-35.62%	-4.362311975	2024-08-13T12:03:00.000	2024-08-13T12:30:00.000
165	UVXY	Long	150	152.8644096	TP hit	190.96%	18.29606404	2024-08-12T20:00:00.000	2024-08-12T21:28:00.000
164	UVXY	Long	148.11	147.3869713	SL hit	-48.82%	-5.681700785	2024-08-12T18:42:00.000	2024-08-12T18:43:00.000
163	UVXY	Long	146.05	145.5752723	SL hit	-32.50%	-4.050446721	2024-08-12T17:21:00.000	2024-08-12T17:22:00.000
162	UVXY	Long	137.27	136.682182	SL hit	-42.82%	-5.08220325	2024-08-12T15:03:00.000	2024-08-12T15:04:00.000
161	UVXY	Short	151.95	152.2149694	SL hit	-17.44%	-2.543793629	2024-08-12T13:42:00.000	2024-08-12T13:43:00.000
160	UVXY	Long	151.2	150.4410464	SL hit	-50.20%	-5.819534073	2024-08-09T20:00:00.000	2024-08-09T22:07:00.000
159	UVXY	Long	163.15	162.6716626	SL hit	-29.32%	-3.731886985	2024-08-09T18:41:00.000	2024-08-09T18:42:00.000
158	UVXY	Long	167	166.3371921	SL hit	-39.69%	-4.76890974	2024-08-09T17:30:00.000	2024-08-09T17:32:00.000
157	UVXY	Long	171.85	175.4238407	TP hit	207.96%	19.99628015	2024-08-09T16:39:00.000	2024-08-09T16:47:00.000
156	UVXY	Short	179.3	179.5492079	SL hit	-13.90%	-2.189893208	2024-08-09T15:57:00.000	2024-08-09T15:58:00.000
155	UVXY	Long	191.6	191.0018539	SL hit	-31.22%	-3.921848276	2024-08-08T17:30:00.000	2024-08-08T17:31:00.000
154	UVXY	Long	193.5	192.7490095	SL hit	-38.81%	-4.681087823	2024-08-08T16:55:00.000	2024-08-08T16:58:00.000
153	UVXY	Long	187.56	186.6631397	SL hit	-47.82%	-5.581724934	2024-08-08T15:56:00.000	2024-08-08T15:59:00.000
152	UVXY	Long	194.25	193.2217591	SL hit	-52.93%	-6.093389218	2024-08-08T14:37:00.000	2024-08-08T14:39:00.000
151	UVXY	Long	192.5	199.1225597	TP hit	344.03%	33.60290758	2024-08-08T14:03:00.000	2024-08-08T14:20:00.000
150	UVXY	Long	195	198.1387915	TP hit	160.96%	15.29636692	2024-08-08T13:16:00.000	2024-08-08T13:27:00.000
149	UVXY	Long	210	209.385568	SL hit	-29.26%	-3.72586659	2024-08-08T11:48:00.000	2024-08-08T11:52:00.000
148	UVXY	Long	211.55	210.0896433	SL hit	-69.03%	-7.70312779	2024-08-08T10:47:00.000	2024-08-08T11:47:00.000
147	UVXY	Long	208.05	206.7357797	SL hit	-63.17%	-7.116848482	2024-08-07T19:03:00.000	2024-08-07T19:04:00.000
146	UVXY	Long	201.05	198.6845226	SL hit	-117.66%	-12.56561767	2024-08-07T17:25:00.000	2024-08-07T17:38:00.000
145	UVXY	Short	179.65	180.3332754	SL hit	-38.03%	-4.603369804	2024-08-07T15:46:00.000	2024-08-07T15:47:00.000
144	UVXY	Long	175.25	174.3840447	SL hit	-49.41%	-5.74125701	2024-08-07T15:37:00.000	2024-08-07T15:42:00.000
143	UVXY	Long	175.8	178.3357788	TP hit	144.24%	13.62422519	2024-08-07T15:09:00.000	2024-08-07T15:11:00.000
142	UVXY	Long	178.9	177.9344351	SL hit	-53.97%	-6.197232664	2024-08-07T14:46:00.000	2024-08-07T15:00:00.000
141	UVXY	Short	182.65	183.7879704	SL hit	-62.30%	-7.030333384	2024-08-07T14:27:00.000	2024-08-07T14:28:00.000
140	UVXY	Short	180.75	181.6330109	SL hit	-48.85%	-5.685260968	2024-08-07T14:04:00.000	2024-08-07T14:05:00.000
139	UVXY	Long	176.55	179.4960006	TP hit	166.86%	15.88649445	2024-08-07T13:58:00.000	2024-08-07T14:03:00.000
138	UVXY	Long	183.85	182.1716285	SL hit	-91.29%	-9.929026345	2024-08-07T12:03:00.000	2024-08-07T12:36:00.000
137	UVXY	Long	181.75	180.7102173	SL hit	-57.21%	-6.520950458	2024-08-07T10:10:00.000	2024-08-07T10:46:00.000
136	UVXY	Long	183.5	183.4226858	SL hit	-4.21%	-1.221330524	2024-08-07T09:56:00.000	2024-08-07T09:57:00.000
135	UVXY	Long	215.7	213.4978891	SL hit	-102.09%	-11.00913701	2024-08-06T22:06:00.000	2024-08-06T22:08:00.000
134	UVXY	Long	197.55	210.7053296	TP hit	665.92%	65.79240506	2024-08-06T20:22:00.000	2024-08-06T20:47:00.000
133	UVXY	Short	180.1	180.991318	SL hit	-49.49%	-5.749017006	2024-08-06T18:57:00.000	2024-08-06T18:58:00.000
132	UVXY	Long	178.6	178.148877	SL hit	-25.26%	-3.325884917	2024-08-06T18:22:00.000	2024-08-06T18:23:00.000
131	UVXY	Long	182.55	181.391503	SL hit	-63.46%	-7.146190187	2024-08-06T17:26:00.000	2024-08-06T17:29:00.000
130	UVXY	Long	187.6	187.0148492	SL hit	-31.19%	-3.919140607	2024-08-06T17:19:00.000	2024-08-06T17:20:00.000
129	UVXY	Short	191.8	189.2871017	TP hit	131.02%	12.30165975	2024-08-06T17:12:00.000	2024-08-06T17:16:00.000
128	UVXY	Short	196.75	192.7500165	TP hit	203.30%	19.53028455	2024-08-06T16:45:00.000	2024-08-06T16:47:00.000
127	UVXY	Long	197.18	194.2404889	SL hit	-149.08%	-15.70775492	2024-08-06T16:04:00.000	2024-08-06T16:06:00.000
126	UVXY	Long	203.7	200.9577767	SL hit	-134.62%	-14.26206826	2024-08-06T15:54:00.000	2024-08-06T16:01:00.000
