variant,trades,long_trades,short_trades,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,max_drawdown_pct,sharpe_ratio,basket,entry_time,exit_time,threshold_pct,breadth_min
median_entry0929_exit1000_thr30_none,12,6,6,8.333333333333332,-0.16662916174238607,-0.12647535580889924,-1.982419014911252,-1.982419014911252,-4.061983343940704,median,09:29,1000,0.3,
mega_entry0930_exit1100_thr40_b60,62,36,26,32.25806451612903,-0.03163507482749669,-0.0931048246009291,-1.9875402741370563,-3.9037029597011275,-0.6398066515382054,mega,09:30,1100,0.4,0.6
median_entry0929_exit1100_thr25_b55,3,0,3,33.33333333333333,-0.6713017741781813,-0.402102502325432,-2.008449152223013,-2.068676116560819,-1.2945325634831064,median,09:29,1100,0.25,0.55
ew_entry0929_exit1100_thr40_none,7,4,3,28.57142857142857,-0.2990823401996989,-0.04285597045547085,-2.086919819794253,-2.1470985549729593,-1.2426254385284603,ew,09:29,1100,0.4,
ew_entry0929_exit1100_thr30_none,8,5,3,25.0,-0.2627755498720762,-0.032933001950143814,-2.095367777564061,-2.155541320510923,-1.241976972717475,ew,09:29,1100,0.3,
median_entry0930_exit1100_thr15_b55,4,1,3,25.0,-0.5304026395678069,-0.2556868206194251,-2.114386611407293,-2.203312970723781,-1.3222297326633354,median,09:30,1100,0.15,0.55
median_entry0930_exit1100_thr20_b55,4,1,3,25.0,-0.5304026395678069,-0.2556868206194251,-2.114386611407293,-2.203312970723781,-1.3222297326633354,median,09:30,1100,0.2,0.55
median_entry0930_exit1100_thr50_none,4,2,2,0.0,-0.5335078173350638,-0.31300491224159116,-2.1234626581814076,-2.1234626581814076,-1.6217324787719534,median,09:30,1100,0.5,
median_entry0929_exit0945_thr25_none,12,7,5,25.0,-0.1790474679043755,-0.13999010306463766,-2.130638061866641,-2.2550339704009548,-2.5905714078663715,median,09:29,0945,0.25,
ew_entry0930_exit1600_thr40_b55,2,1,1,50.0,-1.0563352814510796,-1.0563352814510796,-2.138763560796686,-2.9863984970714963,-0.5473060534504426,ew,09:30,1600,0.4,0.55
ew_entry0930_exit1600_thr40_b60,2,1,1,50.0,-1.0563352814510796,-1.0563352814510796,-2.138763560796686,-2.9863984970714963,-0.5473060534504426,ew,09:30,1600,0.4,0.6
ew_entry0929_exit1600_thr40_b55,2,1,1,50.0,-1.0696230321828115,-1.0696230321828115,-2.164432867646493,-2.9834604754007676,-0.5588891762846533,ew,09:29,1600,0.4,0.55
ew_entry0929_exit1600_thr40_b60,2,1,1,50.0,-1.0696230321828115,-1.0696230321828115,-2.164432867646493,-2.9834604754007676,-0.5588891762846533,ew,09:29,1600,0.4,0.6
ew_entry0930_exit0945_thr20_none,16,12,4,18.75,-0.13714306302577467,-0.09116146840655086,-2.1752805108859907,-2.2360793207016783,-2.547402085359814,ew,09:30,0945,0.2,
median_entry0929_exit1100_thr15_b55,4,1,3,25.0,-0.5568573935851301,-0.3078133770657042,-2.2176848780037894,-2.27778324316662,-1.4496710294812334,median,09:29,1100,0.15,0.55
median_entry0929_exit1100_thr20_b55,4,1,3,25.0,-0.5568573935851301,-0.3078133770657042,-2.2176848780037894,-2.27778324316662,-1.4496710294812334,median,09:29,1100,0.2,0.55
ew_entry0930_exit1600_thr25_b60,4,3,1,50.0,-0.5589542510810486,-0.06157322071101751,-2.260378634856819,-3.1069601899430976,-0.6574897420255651,ew,09:30,1600,0.25,0.6
median_entry0929_exit1100_thr50_none,4,2,2,0.0,-0.5749131601802426,-0.3541126208470323,-2.2864897413116703,-2.2864897413116703,-1.7276820419580177,median,09:29,1100,0.5,
ew_entry0930_exit1000_thr20_none,17,13,4,5.88235294117647,-0.13996392006558203,-0.08823424788380933,-2.354260515363482,-2.354260515363482,-4.42927277820254,ew,09:30,1000,0.2,
ew_entry0929_exit1600_thr25_b60,4,3,1,50.0,-0.5841198813490928,-0.0986167305153739,-2.358431155690266,-3.175834712412573,-0.6940709874963127,ew,09:29,1600,0.25,0.6
ew_entry0930_exit1600_thr25_b55,5,4,1,40.0,-0.47392733713020885,-0.1338196813268499,-2.3911734846977173,-3.1069601899430976,-0.7137702250476087,ew,09:30,1600,0.25,0.55
ew_entry0929_exit1100_thr25_none,13,10,3,30.76923076923077,-0.18690414039413752,-0.04285597045547085,-2.416316559433207,-2.5678864527671985,-1.40355513054991,ew,09:29,1100,0.25,
median_entry0929_exit1000_thr25_none,14,7,7,7.142857142857142,-0.17631685094157193,-0.14537039939266572,-2.441497388937164,-2.441497388937164,-4.902580907987361,median,09:29,1000,0.25,
ew_entry0930_exit0945_thr15_none,19,13,6,15.789473684210526,-0.1311579988057667,-0.08981277230442945,-2.4662836039049285,-2.497419207453244,-2.87752981105938,ew,09:30,0945,0.15,
ew_entry0930_exit1600_thr30_b55,3,2,1,33.33333333333333,-0.8384947446494184,-0.40281367104609606,-2.5329619998285424,-3.3771825466994754,-0.7384913099680681,ew,09:30,1600,0.3,0.55
ew_entry0930_exit1600_thr30_b60,3,2,1,33.33333333333333,-0.8384947446494184,-0.40281367104609606,-2.5329619998285424,-3.3771825466994754,-0.7384913099680681,ew,09:30,1600,0.3,0.6
ew_entry0929_exit1600_thr25_b55,5,4,1,40.0,-0.5032719529834662,-0.17988023952095966,-2.5340690435994406,-3.175834712412573,-0.7661511285868946,ew,09:29,1600,0.25,0.55
ew_entry0930_exit1000_thr15_none,20,14,6,10.0,-0.1289703329449315,-0.0923513718257029,-2.549482078290821,-2.556752668470963,-4.639442570668889,ew,09:30,1000,0.15,
mega_entry0930_exit1100_thr40_b55,70,41,29,32.857142857142854,-0.03623989383562146,-0.0931048246009291,-2.551443158444744,-3.8507260921650466,-0.8157653415965451,mega,09:30,1100,0.4,0.55
median_entry0929_exit1600_thr25_b60,2,0,2,50.0,-1.2752907662855495,-1.2752907662855495,-2.5792408891522567,-3.3947959436062436,-0.6016926874874008,median,09:29,1600,0.25,0.6
median_entry0929_exit1600_thr30_b55,2,0,2,50.0,-1.2752907662855495,-1.2752907662855495,-2.5792408891522567,-3.3947959436062436,-0.6016926874874008,median,09:29,1600,0.3,0.55
median_entry0929_exit1600_thr30_b60,2,0,2,50.0,-1.2752907662855495,-1.2752907662855495,-2.5792408891522567,-3.3947959436062436,-0.6016926874874008,median,09:29,1600,0.3,0.6
median_entry0930_exit1600_thr25_b60,2,0,2,50.0,-1.2750415844832863,-1.2750415844832863,-2.579997962987879,-3.423811103135921,-0.5933822000987788,median,09:30,1600,0.25,0.6
median_entry0930_exit1600_thr30_b55,2,0,2,50.0,-1.2750415844832863,-1.2750415844832863,-2.579997962987879,-3.423811103135921,-0.5933822000987788,median,09:30,1600,0.3,0.55
median_entry0930_exit1600_thr30_b60,2,0,2,50.0,-1.2750415844832863,-1.2750415844832863,-2.579997962987879,-3.423811103135921,-0.5933822000987788,median,09:30,1600,0.3,0.6
ew_entry0929_exit1600_thr30_b55,3,2,1,33.33333333333333,-0.8591864101133276,-0.4383131659743599,-2.5932590393932697,-3.4086967413098024,-0.763847052764094,ew,09:29,1600,0.3,0.55
ew_entry0929_exit1600_thr30_b60,3,2,1,33.33333333333333,-0.8591864101133276,-0.4383131659743599,-2.5932590393932697,-3.4086967413098024,-0.763847052764094,ew,09:29,1600,0.3,0.6
mega_entry0930_exit0945_thr50_b60,44,24,20,13.636363636363635,-0.06066359573100562,-0.05332475005151764,-2.637250264061497,-2.730313444903054,-3.629596976031768,mega,09:30,0945,0.5,0.6
ew_entry0929_exit0945_thr20_none,16,12,4,18.75,-0.16835356005394933,-0.1347487880463759,-2.6630569881760713,-2.6949358909023946,-3.2520581501081613,ew,09:29,0945,0.2,
median_entry0930_exit0945_thr20_none,18,10,8,16.666666666666664,-0.15019071938337716,-0.10159432708713771,-2.6727663674168567,-2.7038360556519647,-3.0737189386972275,median,09:30,0945,0.2,
ew_entry0930_exit0945_thr10_none,22,14,8,18.181818181818183,-0.12394543570299216,-0.08902351009411939,-2.6951967254662867,-2.7262592532776964,-3.1068311922261147,ew,09:30,0945,0.1,
median_entry0930_exit1100_thr40_none,9,5,4,22.22222222222222,-0.3048007035344311,-0.14670608389804934,-2.7196653331918896,-2.7196653331918896,-1.8450745878598722,median,09:30,1100,0.4,
ew_entry0929_exit1000_thr20_none,17,13,4,5.88235294117647,-0.17222131941625032,-0.12988093473643925,-2.889023158484949,-2.889023158484949,-5.601027955125882,ew,09:29,1000,0.2,
median_entry0930_exit1600_thr15_b55,4,1,3,50.0,-0.7245779307981431,-0.17411427711299993,-2.9284673829170327,-3.769262220156755,-0.7127670281224313,median,09:30,1600,0.15,0.55
median_entry0930_exit1600_thr20_b55,4,1,3,50.0,-0.7245779307981431,-0.17411427711299993,-2.9284673829170327,-3.769262220156755,-0.7127670281224313,median,09:30,1600,0.2,0.55
ew_entry0929_exit1600_thr50_b55,1,1,0,0.0,-2.98346047540077,-2.98346047540077,-2.9834604754007676,-2.9834604754007676,0.0,ew,09:29,1600,0.5,0.55
ew_entry0929_exit1600_thr50_b60,1,1,0,0.0,-2.98346047540077,-2.98346047540077,-2.9834604754007676,-2.9834604754007676,0.0,ew,09:29,1600,0.5,0.6
ew_entry0930_exit1600_thr50_b55,1,1,0,0.0,-2.986398497071494,-2.986398497071494,-2.9863984970714963,-2.9863984970714963,0.0,ew,09:30,1600,0.5,0.55
ew_entry0930_exit1600_thr50_b60,1,1,0,0.0,-2.986398497071494,-2.986398497071494,-2.9863984970714963,-2.9863984970714963,0.0,ew,09:30,1600,0.5,0.6
mega_entry0930_exit1000_thr50_b60,45,25,20,31.11111111111111,-0.06797923942283136,-0.07363354696320094,-3.0168681612324,-3.0689893373953336,-3.780970750935636,mega,09:30,1000,0.5,0.6
median_entry0929_exit1600_thr15_b55,4,1,3,50.0,-0.7508248147804703,-0.22635886327539095,-3.0290396476752135,-3.840829224890585,-0.7512865502744938,median,09:29,1600,0.15,0.55
median_entry0929_exit1600_thr20_b55,4,1,3,50.0,-0.7508248147804703,-0.22635886327539095,-3.0290396476752135,-3.840829224890585,-0.7512865502744938,median,09:29,1600,0.2,0.55
median_entry0929_exit1100_thr40_none,9,5,4,11.11111111111111,-0.34573373209678654,-0.18063821723640838,-3.0785775005450766,-3.0785775005450766,-2.090835529008295,median,09:29,1100,0.4,
median_entry0930_exit1000_thr20_none,20,10,10,10.0,-0.15655858368253445,-0.12737690000220508,-3.0865401836492667,-3.138164354655759,-5.487322753613604,median,09:30,1000,0.2,
mega_entry0930_exit0945_thr50_b55,48,28,20,12.5,-0.06600186160491756,-0.061695594905584114,-3.122187610545246,-3.122187610545246,-4.16525465831976,mega,09:30,0945,0.5,0.55
ew_entry0929_exit0945_thr15_none,19,13,6,15.789473684210526,-0.16674737418875096,-0.13839464882943397,-3.1243082864192195,-3.1243082864192195,-3.7985258528411165,ew,09:29,0945,0.15,
median_entry0930_exit0945_thr10_none,21,13,8,19.047619047619047,-0.15195040178858493,-0.10006655407100766,-3.1473050615672182,-3.1782232632272756,-3.285357109134809,median,09:30,0945,0.1,
median_entry0930_exit0945_thr15_none,19,11,8,15.789473684210526,-0.168103558119355,-0.10312210010326776,-3.1501901774946384,-3.181107458141652,-3.3912768721338464,median,09:30,0945,0.15,
ew_entry0929_exit1000_thr15_none,20,14,6,5.0,-0.16522950677118223,-0.1376141194120405,-3.254566443936291,-3.254566443936291,-6.13729486872329,ew,09:29,1000,0.15,
ew_entry0930_exit1000_thr10_none,24,16,8,12.5,-0.140157580417818,-0.0923513718257029,-3.312413834917405,-3.319627504269862,-4.7863907793534715,ew,09:30,1000,0.1,
