,symbol,regime,direction,entry_price,exit_price,outcome,return_pct (%),PnL ($),entry_time,exit_time,notes
252,UVXY,normal,Long,107.25,108.92283963585434,TP hit,1.5597572362278274,14.797572362278274,2025-01-02T19:53:00.000,2025-01-02T19:57:00.000,Entry: Long @ 107.2500 (next-bar open) | regime=normal | SL=106.6330 | TP=108.9228
251,UVXY,normal,Long,107.6,107.57973532749637,SL hit,-0.018833338758019375,-0.9883333875801937,2025-01-02T19:49:00.000,2025-01-02T19:50:00.000,Entry: Long @ 107.6000 (next-bar open) | regime=normal | SL=107.5797 | TP=109.1682
250,UVXY,normal,Long,108.9,108.74060570678236,SL hit,-0.14636757871225403,-2.2636757871225406,2025-01-02T19:25:00.000,2025-01-02T19:26:00.000,Entry: Long @ 108.9000 (next-bar open) | regime=normal | SL=108.7406 | TP=110.3101
249,UVXY,normal,Long,110,109.55605565505937,SL hit,-0.40358576812784785,-4.835857681278479,2025-01-02T19:05:00.000,2025-01-02T19:06:00.000,Entry: Long @ 110.0000 (next-bar open) | regime=normal | SL=109.5561 | TP=112.4796
248,UVXY,normal,Long,103,102.69462969959183,SL hit,-0.2964760198137584,-3.7647601981375844,2025-01-02T16:34:00.000,2025-01-02T16:39:00.000,Entry: Long @ 103.0000 (next-bar open) | regime=normal | SL=102.6946 | TP=104.1464
247,UVXY,normal,Short,103.75,104.27682301665621,SL hit,-0.5077812208734546,-5.877812208734546,2025-01-02T15:28:00.000,2025-01-02T15:30:00.000,Entry: Short @ 103.7500 (next-bar open) | regime=normal | SL=104.2768 | TP=101.9282
246,UVXY,normal,Long,101.7,101.57888892643302,SL hit,-0.11908660134412896,-1.9908660134412897,2025-01-02T14:55:00.000,2025-01-02T14:56:00.000,Entry: Long @ 101.7000 (next-bar open) | regime=normal | SL=101.5789 | TP=103.6664
245,UVXY,normal,Long,103.23,102.76598103935787,SL hit,-0.44950010718021494,-5.295001071802149,2024-12-31T19:58:00.000,2024-12-31T20:06:00.000,Entry: Long @ 103.2300 (next-bar open) | regime=normal | SL=102.7660 | TP=104.4171
244,UVXY,normal,Long,102.7,103.838,TP hit,1.1080817916260868,10.280817916260865,2024-12-31T19:16:00.000,2024-12-31T19:18:00.000,Entry: Long @ 102.7000 (next-bar open) | regime=normal | SL=102.3031 | TP=103.8380
243,UVXY,normal,Short,103.35,103.70991446389706,SL hit,-0.34824815084380256,-4.282481508438026,2024-12-31T18:27:00.000,2024-12-31T18:30:00.000,Entry: Short @ 103.3500 (next-bar open) | regime=normal | SL=103.7099 | TP=101.8383
242,UVXY,normal,Short,100.95,101.25347042105638,SL hit,-0.30061458252241163,-3.8061458252241165,2024-12-31T15:34:00.000,2024-12-31T16:04:00.000,Entry: Short @ 100.9500 (next-bar open) | regime=normal | SL=101.2535 | TP=99.7955
241,UVXY,normal,Short,101.95,100.52755809393079,TP hit,1.3952348269438057,13.152348269438056,2024-12-31T15:12:00.000,2024-12-31T15:16:00.000,Entry: Short @ 101.9500 (next-bar open) | regime=normal | SL=102.1644 | TP=100.5276
240,UVXY,normal,Long,100,101.29029029029029,TP hit,1.2902902902902866,12.102902902902864,2024-12-30T20:53:00.000,2024-12-30T20:54:00.000,Entry: Long @ 100.0000 (next-bar open) | regime=normal | SL=99.5505 | TP=101.2903
239,UVXY,normal,Long,100.4,99.9862472437177,SL hit,-0.41210433892660026,-4.921043389266003,2024-12-30T16:37:00.000,2024-12-30T16:56:00.000,Entry: Long @ 100.4000 (next-bar open) | regime=normal | SL=99.9862 | TP=102.2249
